,sentence
526,"In addition, the show was supposed to be started at 19:30 but it was started half an hour later, until 20:15."
527,"To make the matter worse, I had expected the ticket with some discount, but when I went to the ticket box, there was no discount available."
528,The last thing is the theatre restaurant was closed after the show because it only opened until 9 o'clock at night.
529,You can imagine how disappointed I am when spending money on such a terrible evening.
530,I would like you to look into the matter immediately and I insisted on getting some money back.
531,I look forward to receiving a satisfactory reply as soon as possible.
532,"Nowadays, we use a lot of modern technology both at home and in the office but it has its advantage and disadvantages."
533,"The first and most important thing is that modern technology have made our life easier, for instance the ricer cooker is a great invention, all you have to do is putting rice on it and switch it on, it makes cooking more efficiently."
534,"Furthmore, we can use the computer and telephone a lot."
535,"Wherever you are, you can get in touch with people whenever you want."
536,"It is often suggested that, modern technology makes the gap bigger between people, they get used to communicating with the machine then forget how to deal with human beings."
537,"To sum up, I believe that modern technology could help our daily life but we should not always rely on it."
538,"How are you? I have been to the musical show ""Over the Rainbow"" in your theatre last week."
539,I have got a few things to complain about regarding your theatre.
540,The first thing is in your note it says that you should have got Danny Brook in the show.
541,"But in the show, there was a another actor."
542,"I was so disappointing, because I came from far away to see Danny Broke."
543,"In the note it also says that the show starts at 19:30, and so I went in at 19:25."
544,"The show was started at 20:15, which means it has wasted one hour of my time."
545,"The note says that there are discounts available on tickets, but I bought my ticket and your people told me that there is no discount for the ticket."
546,When the show is finished.
547,I decided to go and visit your theatre restaurant.
548,But I went there and it is closed for some reason.
549,I was really hungry and I went to other restaurant as soon as I can.
550,"The note says that your perfect evening out, I thought I could get my money back, with your poor service and all my reasons, But it was not ask for money back."
551,I was really disappointed about your theatre and service.
552,I hope I can get my money back and you can improve it.
553,Than you for reading this.
554,"Today, science and technology help us a lot."
555,"In the pass, people have had to go and get wood, make a fire and cook, but now people can cook in a microwave and do not have to do all the hard work."
556,Science and technology can give us a better live lifestyle or better food.
557,"For example, before people had to walk from one place to another, but now we can use science and technology to produce a lot of petrol-powered transport vehicles and we can travel with them faster."
558,We also can produce more and better food or by using science and technology.
559,"The original sentence is empty, as there is no content after the letter ""g""."
560,By using science to put all the good parts of two plants into one plant.
561,We can also use technology to produce more food and help them grow faster.
562,Science and technology can also be used to produce some materials.
563,"The original sentence is empty, so the correction is also empty:"
564,"Steel or iron, which are used in our building."
565,They can make it stronger and not easy to destroy.
566,"Science and technology can give us a lot of good things for our daily life, make us easy to do things or work."
567,I would like to point out the problems I encountered when I went to watch your musical show Over the Rainbow at the Circle Theatre.
568,"On your advertisement, you have written that Danny Brook and Tina Truelove would be performing."
569,"However, I noticed when I was watching it that a different actor was performing."
570,I have had expected Danny Brook to perform and it was extremely disappointing.
571,"Also, the times printed on your advertisement were 14."
572,"I went to the 19:30 show, but it did not start until it was 20:15."
573,I had my evening planned out and I was not pleased that the show started forty-five minutes late.
574,"On your advertisement, it said that discounts were available for the tickets."
575,"However, when I was there to buy a ticket, there were no discounts available."
576,"I was rather thirsty and hungry after the show and on your advertisement, it made a cup of tea and some cakes in your restaurant sound rather inviting."
577,"However, to my disappointment, the restaurant was closed because it was being redecorated."
578,"It was not my perfect evening out, as your advertisement said it would be, and I would like some money back."
579,I hope you would give these problems your immediate attention.
580,"Unfortunately, Pat wasn't very good at keeping secrets."
581,"One minute I told her the biggest secret of my life, the next she had told someone all about it."
582,"I trusted her! How could I have been so stupid, so blind as not to see her inability to keep the biggest secret about my biggest crush ever?"
583,"When I overheard girls from other forms gossiping about me and my latest crush, I was furious."
584,"From that day onwards, Pat and I stopped being friends."
585,"I moved away that year, away to a whole new place and a whole new school."
586,"Once in a while my old schoolmates came and visited me and we had lots of fun together, just like the old times."
587,"However I felt I could not talk to them about the problems I was having, the one problem about my parents getting a divorce."
588,"When my parents told me the news, I was stunned, dazed."
589,"My dad began packing his things the very next day, to move to his new apartment where he would live while waiting for the divorce papers and signing them."
590,That period of my life was one of the worst.
591,"I went into a depression, and no matter who tried to make me feel better, I only felt worse."
592,"However, the person who helped me through this hard time was, surprisingly, Pat."
593,She showed up on my doorstep just when I was having one of my worst days.
594,She told me she had heard about my parents' divorce and wanted to help.
595,"When she was comforting me, I noticed she had changed."
596,"She was a person I could turn to, I could trust."
597,"She let me pour out my feelings, a thing I did not do with anyone."
598,"Ever since, she gained my trust and I have told her my feelings and secrets."
599,"Unlike a year ago, she did not tell a soul."
600,"She kept every single one of my secrets well, and not surprisingly, she became my best friend."
601,"Eventually, I got over my parents' divorce and lived like a normal, happy teenager."
602,My happiness was short lived.
603,"When I came home from school one day, I received a phone call from Pat's mum, and in a voice chocked with tears she told me that Pat had died in an accident."
604,She had been killed by a speeding car.
605,The news shook me to the very core.
606,"I cried for days straight on end, eating and sleeping very little."
607,"I fell into a deep depression, and took an extremely long time to recover."
608,"I am still missing Pat, but my pain is nearly over now."
609,I could only comfort myself by reminding myself that at least she died knowing I had forgiven her for telling my secret.
610,"Dear Sir or Madam,"
611,I am writing to giving you information about myself.
612,"Even though I would like to travel, I am only available in July, because I am a high school student."
613,Thus I have not got a long holiday.
614,I just have one month left.
615,"Personally, I would rather stay in log cabins than in tents."
616,On account of the fact that to stay in log cabins are as much more interesting than staying in tents.
617,"As far as two activities are concerned, I would choose singing and photography."
618,I used to win a number of competitions in singing.
619,I can sing a plenty of songs.
620,"Which include the English song, and I have a part-time job for singing at a restaurant."
621,"Although the photography is not as good as the singing, I am very interested in it."
622,I have been learning photography since I was 15 year old.
623,I got third prize in it competition last year and my level is professional now.
624,"Futermore, I am going to have a competition next year."
625,I would like to ask for some information about that what kind of clothes I have to wear and how many your are charge.
626,I look foreword to hearing from you.
627,"Shopping is not always enjoyable, sometimes."
628,Sometimes there is a long queue or a machine was broken.
629,A lot of circumstances will have been happening.
630,I have had an unpleasant experience.
631,It was in lunch time.
632,"Everybody were went to buy lunch in the supermarket, in."
633,"In fact, nobody liked crowe and crowds especially not in the summer time."
634,I was queueing in the middle of row.
635,I chose this row because I thought it was quicker than the other.
636,"Although there were finished two people, next was me, something was happened."
637,"Suddenly the customer though the receipt was not truth, she."
638,"She did not buy a lot of things, but the shop assistant made a mistake."
639,They argued about this thing.
640,The shop manager was coming to solve it.
641,"Obviusly, I have had to try other row."
642,"It was the longest queue, I have ever been in."
643,"Shopping would be enjoyable, if you were good luck."
644,"Even though I think it is very interesting, sometimes it makes people upset."
645,Thank you for your letter and your congratulations.
646,I never thought that I would win the competition.
647,It is really wonderful.
648,I can stay at Camp California in the U.
649,"The original sentence is empty, so the correction is also empty:"
650,"I am a student at Portsmouth College and the end of this term is 23 June, so I can only travel in July."
651,I wonder if it is all right for to come at that time.
652,And for concerning my accommodation.
653,"I would prefer to live in a log cabin, because it is more comfortable."
654,I would like to relax there and enjoy the atmosphere when I live in London.
655,I like to do some activities in water and my favourite activity is swimming.
656,"Before I came to England, I swam every weekend in my country, even in winter, so I choose to do some swimming and sailing while I am at the camp."
657,"Actually, my mind has already gone there."
658,I can't wait even for a minute.
659,I want to go there now.
660,"By the way, I would like to know about the shopping, especially for clothes."
661,I want to buy some for myself.
662,And do you think I need to exchange money before I go there?
663,I look forward to your letter.
664,Subject: About daily life at our school.
665,This report is aimed to research the students about their daily life at school and give some suggestions about it.
666,What do students do now?
667,Lots of students normally have classes in the morning.
668,And sometimes they do something in the library by themselves in the afternoon.
669,"For instance, reading, looking for some information or using the computer."
670,What do they think about it?
671,The arts students want to learn another foreign language.
672,"Moreover, some foreign students hope there will be some English classes that aim to focus on the examination."
673,Most of them want to do more activities in the afternoon.
674,Open some foreign language classes at part-time for the students who is interested in it.
675,Let foreign students do more exercises about English to help them pass the exam.
676,"Using the equipment and area, what we have to organize some activities."
677,Dear Ms Helen Ryan.
678,I am very pleased about the prize I just won in your competition.
679,Thank you for choosing me.
680,Here is some further information about myself and a few enquirements.
681,"First of all, I am sorry to say that I could only travel in July."
682,"As my family's new restaurant is about to open in August, I need to help with the restaurant, which is expected to be rather busy."
683,"Secondly, I would like to live in log cabins while I am staying at the camp."
684,I had a bad experience last time I lived in a tent.
685,I was terribly attacked by a bear and it still gives me nightmares!
686,"As for selecting two activities, basketball and surfing are definitely on my list."
687,I spend one third of my spare time playing basketball.
688,"As a result, I have an important position in our local basketball team."
689,Surfing was a fresh sport to me which I took up recently.
690,It is really fascinating to challenge the waves.
691,I wish I could learn more to be better so that I could enjoy it more in the future.
692,"In addition, what kind of clothes shall I bring with me? How much money is it appropriate to carry?"
693,I look forward to hearing from you.
694,"No errors or corrections required for this sentence, as it is already in the correct form."
695,I really wish you were there with me at that one of the exciting nights in my life.
696,Now I can't wait to tell you every detail.
697,That it was a pop concert of by Steps in the M'.
698,"The original sentence is empty, so the correction is simply ""E"" (an empty string)."
699,And I was initially employed to be an entrance assistant whose job was to keep the queue under control as well as keeping the area clean.
700,"A few minutes after the concert began, a backstage assistant called in sick who was responsible for checking whether everything is going well according to the timetable."
701,"If something comes up, she should inform the other staff."
702,I was then taken in to cover her job.
703,I couldn't find my feet at first as I was so nervous.
704,I was given lots of paper with many different times on it.
705,"I did manage to study them though, thanks to the other staff."
706,They were very helpful and nice.
707,They patiently explained to me my job even though they were fairly busy themselves.
708,Then I found it was not as complicated as I thought before at first.
709,And I guess I did a good job as everything was getting on quite well.
710,"I saw all the members of the band backstage, how did they change their make-up, hairstyle etc."
711,They were even talking to me and other staff.
712,"I was impressed when they kept saying ""thank-you"" to the staff."
713,"Indeed, they cannot succeed without their help, can they? I was lucky to have this chance and able to know how they work behind the scenes."
714,"All in all, it was a once-a-lifetime experience."
715,"The original sentence is error-free, so the correction tag is not needed:"
716,Thank you very much for your letter which said I had won first prize in your competition.
717,I was really surprised to hear that.
718,"I am afraid I can only make it on July, because I am taking exams this month."
719,"Moreover, I'll prepare everything for going to University on August."
720,I have no time until Christmas.
721,"So, I think the best time is July."
722,The accommodation I prefer is a tent.
723,I haven't tried it before.
724,I would like to know how interesting it is to live in tents.
725,"If I can only choose two activities while I am at the Camp, I would like climbing and Basketball."
726,I started climbing since I was a child.
727,I love it very much.
728,"About the Basketball, I have been played it for seven years."
729,"I would like to play basketball with local people at the Camp to see how good they are, if I can."
730,"Finally, may I ask for some more information."
731,? What kinds of clothes shall I take?
732,How about the weather there? Would you give me some pocket-money during the trip.
733,"Also, may I take a friend with me? How much should she pay?"
734,I look forward to hearing from you soon.
735,JIA LI LO (meaningless sentence)
736,Subject: a short video about daily life at school.
737,"As I was asked, I spoke to a number of students about their opinions of concerning this short video."
738,"I found that most of them had suggested that four lessons should be filmed, which are as follows:"
739,"The original sentence is invalid, as there is no verb or action described."
740,"Grammer, which is the basis of learning English."
741,"Speaking, it makes you more confident when you talk with other peoper people."
742,Let it lets you get more practices.
743,"The original sentence is invalid, as there is no word ""3"" in the English language. Please provide more context or clarify what you are trying to convey so I can assist you better."
744,It is really helpful for improving your listening and understanding.
745,"The original sentence is simply ""4"". No errors or corrections are needed."
746,This lesson class teaches you how to organise what you want to write.
747,"Also, there are two activities that should be filmed."
748,Students are talking to each other when they are having a break.
749,It is important to practise your English after lessons.
750,"No errors or corrections needed for this sentence, as it is already in the correct form: ""2""."
751,Teachers are helping students with their problems.
752,"If you have a problem on studying, try asking the teachers about which is the best way to study."
753,"In Conclusion, the short video is only 60 minutes."
754,It must show the daily lifes of the English students at the school.
755,It should include all those point listed above.
756,I am writing to reply to your letter and I am so glad to have won the prize.
757,Thank you very much!
758,In answer to your questions: I would like to travel in July.
759,"I am a full-time student, my summer holidays begin at the end of June and I have planned to work on my grandfather's farm in August."
760,So July is the only time I will be free.
761,"Secondly, I would prefer tents to log cabins."
762,Camping is my enthusiasm and I sleep in tents every time I go camping.
763,"Therefore, I am afraid I can't get used to log cabins easily."
764,"Besides camping, I also like painting."
765,"My Dad is an amateur painter, and I have begun painting for 8 years."
766,I'm good at portraits and landscapes.
767,"I would also like to play golf during my holiday, but I have never played it before."
768,Will I get any tuition?
769,"Finally, I should like to ask some questions."
770,"How is the weather like in California in July? What kind of clothes should I pack? If I want to buy some gifts, how much money should I take and can I use traveler's cheques in every place?"
771,I am looking forward to hearing from you.
772,Shopping is not always enjoyable.
773,"Our lives are getting better and better, so people began to go shopping more frequently."
774,"It's always a great job to go home with bags of purchases, but is it doing us any good apart from the temporary satisfaction?"
775,"Everyone likes sales, but those so-called sale items are not really of good value."
776,"In the fashion industry, sales begin at the end of each season and just last a short time, because those owners want to make room for new stock."
777,But you'll find your cool bargain soon gets out of date and you have to keep buying new ones.
778,Also supermarket owners have put in a vast amount of money to find out the best way to place goods in order to get the most profit.
779,"Therefore, we become impulsive buyers easily under the influence of these tricks."
780,"The result is we feel guilty after spending more than we've estimated, or even suffer from financial difficulty."
781,"Shopping does not just affect us mentally, but also physically."
782,It's not hard to realize how exhausted we are after a day of shopping.
783,"Think of the awful crowds, the busy car parks, polluted air in the city centers and mile-long queues in front of the cash desks."
784,I don't think anyone would really like to face them.
785,"But once you get there, they're just inevitable, aren't they?"
786,"Well, now before you go shopping, think again and you'll find out it won't always be enjoyable."
787,"Dear Mr. Helen Ryan,"
788,I am writing to you and reply to answer the answers from your letter.
789,"I was glad to hearing the news from you and thank you very much! When you mentioned the period of my traveling, I'm afraid I am only free in July."
790,"Because I go on holiday in July, naturally, and I have two terms in June and August."
791,"Therefore, I hope that you could make to a suitable argument between you and me."
792,"Furthermore, I would like to stay in log cabins which I could feel are a more American style of accommodation."
793,"In addition, there should not be too hot inside during July."
794,"If I get two choices, I would like to go swimming and take photographs."
795,Because I grew up in my home town that is a seaside city.
796,"I was starting trainning since 1996, and I have never given it up."
797,Especially it is was really good for my health during the growth period.
798,Photography is my hobby that is taken in my spare time.
799,I can remember that I used to take photographs on the exhibitions or during the holidays.
800,It must will be nice for my memories when I am older.
801,"In addition, it could showed people how nice the places I have been are and the views I have got."
802,"Therefore, I would like to do those two activities."
803,"Finally, I would like to know about the weather in California."
804,Do I need to take too many clothes? Could you tell me that the amount of money I can bring during the holiday?
805,I look forward to hearing from you!
806,Shopping is not always enjoyable.
807,Shopping is concerned that people exchange from money to their demands.
808,There are more and more retailors are opening to customer.
809,"Therefore, people used to go shopping weekly or monthly."
810,"In my opinion, women are really enjoying shopping."
811,It seems a human activity during their spare time.
812,"However, we are going to change from the traditional system to the ""e-shopping""."
813,It is new for customers by.
814,"With technology, they can switch on the computer and click everything they want."
815,"Therefore, it looks like a service and is also boring for the customer."
816,I think most of gentlemen dislike shopping.
817,They are always waiting for a long time after women finish their shopping.
818,I believed that most busy people want to go shopping by the easy and quick way.
819,Because they don't like waiting for payment and wasting time of life.
820,"Therefore, they would like to use ""e-shopping"", which is getting better for their time."
821,The lifestyle has changed already from the past.
822,Shopping is a common activity in their life.
823,"We must focus on the specific lifestyle, which will make us enjoyable."
824,"In conclusion, I believe that shopping only wastes time for human life."
825,And you couldn't get back any more.
826,Dear Ms Helen Ryan.
827,Thank you very much for granting me the first prize - Camping in California.
828,I really look forward to it because I have never been to the U.
829,"The original sentence is blank, indicating that the learner did not provide any text for decoding."
830,"I would like to have my two weeks with you in July, as it will be during my summer holiday in."
831,"In addition to that, it is said to be the best season there."
832,I will join in with the swimming group and the photography group.
833,"Both of them are my hobbies,"
834,I have won some prizes in my school competition of them.
835,"Therefore, I am quite confident about them."
836,I would be grateful if you could put me into the tent side of accommodation because I have had all my holidays with my parents in luxury hotels before.
837,I would like to try it this time.
838,"As all the travel expenses are paid already, I would appreciate it if you could tell me what kind of clothing and also how much pocket money I need."
839,I look forward to hearing from you in due course.
840,No errors or corrections needed for this sentence. It is already in the correct form.
841,The concert I helped at last week was the greatest experience I've ever had.
842,I mainly gave them a hand in setting up the stage.
843,"You know, although I'm a pop music fan, I'd never had any idea how it was prepared for opening."
844,"First, they asked me to put those instruments on the stage."
845,I left the hi-fi system on the left side (it should be on the other side).
846,"Before his opening, the pop star found the mistake, otherwise."
847,Otherwise it would have been a disaster.
848,"The performer, Paul, is a big music name at the present."
849,But I'd never met him before.
850,"This time, I saw him in person."
851,"I told him I loved his songs, he."
852,He was very happy.
853,"Then, we had a lovely conversation."
854,"Afterwards, he gave me his pen for my enthusiasm."
855,"Anyway, how are you? Write soon."
856,Tell me how you're getting on in your new job.
857,"No errors or corrections needed, as the sentence is already in its original and corrected form."
858,Thank you for sending me this wonderful news.
859,I was really happy when I knew I won the first prize.
860,I am writing to give you my details and ask for some more information.
861,"Firstly, I would like to travel in July because I need to stay at home in August."
862,I am a college student and I am going to study in university this year.
863,I will take my exams in June and have the results in August.
864,So I shall stay to prepare for my university.
865,"Secondly, I prefer staying in log cabins so that I can have more chances to be with other people, then I can make more friends."
866,"During the camp, I will do singing and climbing activities."
867,I enjoy singing all the time and I want to share my music with the others.
868,I also like climbing because I like the view on the top of hills.
869,"Finally, I want to know what the weather is like in California in July."
870,Do I need some special clothes for the camp and how much money shall I bring for other expenses.
871,I am looking forward to hear from you.
872,To: The teacher of the English class.
873,Subject: The lessons that should be filmed.
874,"Date: 13 June, 00."
875,The English class is going to make a short video about the school's daily life.
876,The aim of this report is to give some suggestions of which lessons and activities should be filmed.
877,The Speaking and Listening class should be filmed because the purpose of this class is to encourage students to talk about some topics they choose and discuss them with others in order to improve their speaking and listening skills.
878,Topical class is similar to speaking and listening but the materials are more up-dated.
879,"The teacher uses video, and pictures to show students about festivals, sports, museums, etc."
880,It is popular by with the students.
881,The canteen is the place students stay get together apart from class.
882,Quite a lot of students spend their free time there for relaxing and talking.
883,"Basketball is the most popular activity, which takes place between 4:30 pm - 6:30 pm from Monday to Friday every week."
884,Not only the students who have activity play but also a lot of students watch.
885,The lessons and activities above are what we suggest should be filmed.
886,Thank you for telling me that I have won the first prize and now I am writing to tell you the information you have requested.
887,"First of all, I think I would like to travel in July, which will be the only month for me when I will be able to go."
888,"Because my course won't finish until the end of June, and I will have to stay in the college to get ready for the new term."
889,Then I'd like to choose the tents for my accommodation when at Camp California.
890,I think sleeping in a tent is funnier than others.
891,"However, during my stay at Camp, there are two activities I can choose for."
892,"For one of them, I will choose Basketball because it is the sport I play most."
893,I and my friend used to win the first place in the school-wide match when we were in school.
894,"And for the other one, I think painting will be a good idea; Painting is one of my hobbies and I've been learning it since I was 5 years old and now I'm still doing it once when I have some free time."
895,"Above are all the information you asked for, however."
896,"However, here are something I'd like to know; the first is about the clothes, what."
897,"What kind of clothes do I need to take with me? And another question is what are the prices of things like in there, which I want to know so that I can make a better budget for my trip."
898,Look I look forward to hearing from you.
899,"No errors or corrections needed, as the sentence is already in the correct form."
900,"Thanks for your last letter; I knew you would be interested at my experience of helping at the pop concert, now."
901,Now I will tell you about it.
902,"The place where we worked was a football pitch; we spent 3 days on setting up the stage, the equipment, and the lights."
903,"In fact, there is nothing very important I did, because we are not the right people to do it."
904,"I only put the speakers in the right places, or helping the engineers tested the lights."
905,"But at the brakes and after work, I had a chance to talk with the engineers, and I leant something about setting up the equipment."
906,"The fourth day, the singers and the players have been to there to test."
907,Then I had a chance to speak with them.
908,"From that, I learnt more about the instruments."
909,"Finally, the date of the concert came."
910,"After the concert finished successfully, I was happier than ever because the included my work and that was the most enjoyable moment in my life."
911,"Anyway, now I have to stop to finish my homework."
912,I'm looking forward to receiving your letter again.
913,"I am very glad received your letter, and very happy won first prize in your competition."
914,I am writing to answer your question and ask for further information.
915,"First of all, I am a high school student, so I only have four weeks vacation on July."
916,I would like to travel on July.
917,"Secondly, for me, the best way to live in the outdoors is in tents, because that will be a good chance to learn a lot of knowledge about the planets and the animals as well."
918,"Moreover, I am good at playing basketball."
919,"In fact, I am the captain in the basketball team which is one of the best teenagers in my city, and I also like singing."
920,I play piano very well.
921,"Two of my friends and I have a band, we."
922,We sometimes perform in my school club.
923,Could you tell me something about the clothes and money which is I need to take with me.
924,I look foreward to hearin from you.
925,Suitable lessons and activities.
926,Introduction: The aim of this report is to summerize the suitable lessons and activities to be filmed.
927,"Music is a traditional lesson subject in our school, everyone."
928,"Everyone in our school can play at least one instrument, so music lessons should be filmed and to express music is part of our school's daily life."
929,"The original sentence is empty, so there is no correction. The student simply wrote the number 2."
930,According to some survey which have been conducted by another students.
931,Every student in our school has one math class everyday.
932,"So, math lessons would be filmed."
933,"Our school basketball team is one of the best teenagers in our city, and every afternoon students are all playing basketball in the playground."
934,"So, basketball should be filmed."
935,"Sum to sum, the daily life in our school should film music class, maths class and students playing basketball."
936,Dear Miss Helen Ryan.
937,Thank you for informing me that I have won the first prize in your competition.
938,I am writing to give you some of my information and I would like to have some further information on the camp in California.
939,"Firstly, I would like to start my journey on the second week of July because I will have a 3-week holiday in July."
940,I could not travel in June and May because I will have my standard grade exam during these two months.
941,"As for the accommodation, I would like to stay in a log cabin because I hate sleeping in the tents."
942,I stayed in a tent once when I had my Duke of Edinburgh walk.
943,I felt really uncomfortable in the tent.
944,"Secondly, I would like to have a chance to do singing and swimming while I am at the Camp."
945,I am keen on singing and I have won several singing competitions at school.
946,I have chosen swimming because it is my favourite sport.
947,I enjoy doing it very much.
948,"I note that all accommodation and travel costs are paid, but does it include my expenses in California? Lastly, I would like to know what the weather in California is likes and what type of clothes I have to bring."
949,Would it be possible for you to send me a map of California so I know where the campsite is situated? I would be grateful if you could send me some information.
950,I look foreward to hearing from you.
951,"No errors or corrections needed, as the sentence is already in its correct form."
952,"Hi! How are you? How are you getting on with your school work? Do you enjoy your school life? As you know, I had a wonderful experience in last month so I am writing to tell you about it."
953,I was chosen to help at a pop concert by chance in last month.
954,"At that time, I was so nervous because I did not know what to do."
955,"However, I was excited to meet lots of people and the pop star, Kelly Chen."
956,"When I first entered the concert hall, I was given a pass for working here."
957,"There were five other students, like me, who were waiting to help."
958,We were sitting at the back of the concert hall and chatting with each other.
959,I found that they were all Kelly's fans.
960,We were told that we were responsible for decorating the hall.
961,There were lots of decorations and I had to put the decorations in the right place.
962,It was a tiring work because I had to run from place to place for hanging the decorations.
963,"After I had finished my work, I saw Kelly Chen walking into the concert hall."
964,She smiled at me and said thank you to me.
965,I was very happy at that time and I thought it was the happiest moment that I ever had.
966,"At last, the concert was started."
967,There were many people at the show and I was sitting on a good seat to watch the concert.
968,I had a really good time in this experience because I could meet my favourite singer.
969,Could you tell me what your happiest moment is?
970,I look forward to hearing from you.
971,Dear the competition organiser (Helen Ryan).
972,I'm as happy to hear that I have won the first prize.
973,Here is the information you want from me.
974,"Firstly, I can only go in July."
975,Because I'm in the holiday at that moment.
976,I think I would prefer the accommodation at Camp California is in tents.
977,"Because it is more safe, and I wouldn't like to be in the log cabins."
978,"The activities are quite hard to choose really, because you have a lot of choices which is I like."
979,"But I think I will choose Basketball and Photography, because basketball is the only sport I can play well."
980,"Photography is a very interesting activity, and is not too hard to do either."
981,"Here I have some questions which I would like to ask, what."
982,What kind of clothes should I need? How much did I need for the Camp?
983,"Finally, I hope the information I've given is useful for you, and hope you can answer my questions A."
984,S (no changes needed)
985,Yours Sincerely (missing word)
986,Shopping is not always enjoyable.
987,"Shopping, for most the people it is very important because you need to get the stuff you need or you want."
988,"For some people it may be a method to relax themselves, after you have been to work or school."
989,"So it is a thing you will enjoy most of the time, but still have something you will not enjoy it."
990,It depends on what is the place and the aim you are shopping.
991,"For example, some people always shop to get food or stuff they need in everyday life."
992,"They won't enjoy this kind of shopping, because it is not getting what they want."
993,The place where you are shopping is also very important.
994,"For example, in HK all the areas have lots of people it won't let you feel good of the noise and times when you are shopping."
995,"Because there are too many people, it makes you want to stay home and you won't enjoy shopping."
996,"After I've written this composition, I think that you will enjoy shopping most of the time, but still have find sometimes you won't."
997,Thank you for your letter.
998,I was so happy to hear that I have won a two weeks holiday in the U.
999,I would like to travel in July.
1000,"I am going to finish my exams in June, and I am planning to go back to China in early August."
1001,"So if I could travel in July, and coming back before the 6th of August, that would be great."
1002,I would prefer living in tents to log cabins.
1003,"I have never had any experience of to live staying in a tent, so I would like to give it a go."
1004,I think I will enjoy myself in a tent.
1005,"I love swimming, but I am not any good."
1006,I really wanted to learn how to swim.
1007,I was wondering if there is a coach who could give us a lesson during the Camp.
1008,"Also, I would like to join the basketball team."
1009,Our high school basketball team has won many competitions during the last ten years in our city.
1010,"I am glad I had taken a part in a few competitions, and I was so proud of our basketball team."
1011,Would you tell me that how much money you would give it to me and what is the weather like in the U.
1012,Thank you for everything!
1013,No errors or corrections required. The sentence is already in the correct form.
1014,"It was great to hear from you, haven't seen you since last summer holiday, hope everything is fine in your place."
1015,You wanted to hear about my experience at the pop concert which I enjoyed helping at last month? I must say that was a great fun.
1016,I've never had this kind of experience before.
1017,"Before the concert actually started I had to give out lots of leaflets, they."
1018,"They are lists of pop bands and groups which will appear in the concert in order, and some information about their performance and backgrounds."
1019,"After that, I had to help people who had a ticket but can't find their seat."
1020,"During the concert, I didn't have a lot to do, so I had a chance to see most of the performance."
1021,I was excited that I had a closer look at so many famous pop stars.
1022,"During the break time I did give lots of directions to people who couldn't find the toilet, and gave people information such as where they could have a cup of coffee."
1023,"That was a bit boring, but it was part of my job."
1024,I got to go.
1025,Write to you next time.
1026,Thank you very much for your letter with reference to the competition.
1027,Here are the information you required.
1028,"Firstly, I would like to travel in July, because it is the only month that I am free."
1029,"Secondly, I prefer cabins."
1030,The main reason is that I love wood.
1031,"In addition, due to my height (185 cm), I think cabins may be a better choice."
1032,"Thirdly, from the activity list, I chose swimming and tennis as my favourite ones."
1033,"Although I have played tennis only twice, I really enjoyed it."
1034,"With contrast to this, I can swim when I was six."
1035,"Furthermore, I once have been trained in a swimming center, so I am quite confident with it."
1036,"Lastly, could you please tell me what kind of clothes and how much money I should prepare and do I have to buy insurance myself?"
1037,I look forward to hearing from you.
1038,The aim of this report is to suggest lessons and some activities which should be filmed in the video from my school.
1039,"In my opinion, maths, politics, Chinese, and English lessons are the most interesting ones."
1040,They are also the lessons which English people and other foreigners are particularly curious in.
1041,"As far as I know, English people are really surprised at the Chinese students' advanced level in Maths, as well as their knowledge in politics."
1042,This is a good opportunity to see how they learn in class.
1043,"As it is expected, painting lesson is an amazing one."
1044,You can find students using traditional Chinese ink to draw and write.
1045,"In spite of lessons, there are all kinds of activities such as sports meetings, racing competitions, and countryside activities."
1046,Some are held once a year and some are held every term.
1047,You will experience a different life in them.
1048,"In conclusion, besides all that I mentioned, I highly recommend you video the students' daily life and interview them."
1049,That will definitely make it a successful video.
1050,"I have just received your letter, and I am very happy about this."
1051,"I think I would like to travel only in July because I've just finished my course at that time, and I can have a short holiday in these days."
1052,It will be very nice for me.
1053,"Accommodation at Camp California is in tents or log cabins, ."
1054,"I think I prefer both of them, because I've never been there before, and never heard of these two places."
1055,"I am very interested in both places but, I can just choose one place."
1056,"I think I will choose log cabins, it's they sounds good and if I have time, maybe I can go to stay in tents next time (maybe next year)."
1057,...and I went to when I'd a week's holiday in London.</c></NS>
1058,"When I am at Camp, I will choose singing and photography."
1059,"I can sing classic music and pop music, seem like rock & roll."
1060,My mum liked me singing this song.
1061,"And I can also make very good photographs, because I learned to do this in China two years ago."
1062,Another thing is I would like to ask you some questions about the journey stay.
1063,What's the weather like? What kind of clothes shall I take? And how much does it cost per night to stay in a Hotel? Thanks for your help.
1064,Shopping is not always enjoyable.
1065,"A lot of people enjoy shopping very much, me."
1066,But sometimes shopping is not very enjoyable.
1067,"Firstly, I am a student."
1068,"I don't have a job, so, I have to ask for money from my parents."
1069,I can't ask for too much that's.
1070,That's very bad for my parents.
1071,When I go shopping.
1072,Always feel ashamed because I spend my parents' money.
1073,"Although I have got a part-time job, it provides just enough to pay my rent."
1074,"Secondly, if you live in a big city, the things are always expensive."
1075,"You should spend more money on buying clothes and food, you think you will be very happy when you buy it, but when you come back home and take out your purse, you must will feel sad."
1076,"Your purse is nearly empty, (when you don't have enough money."
1077,"Sometimes, when you shop on the street, you will see a lot of things that you like, and you can't buy them once, then you will feel very sad maybe."
